order_id,customer_id,order_date,item_name,category,quantity,unit_price,gross_amount,discount,final_amount,channel,payment_method,prep_time_min
41,31,2025-12-26,Cold Coffee,Beverage,1,129,129,0,129,delivery,upi,27
42,498,2026-02-01,Fries,Sides,1,99,99,0,99,takeaway,upi,13
43,493,2025-09-12,Chocolate Shake,Beverage,3,159,477,0,477,takeaway,card,21
44,28,2025-08-24,Brownie,Dessert,2,109,218,30,188,dine_in,upi,14
45,188,2025-09-11,Cheese Burst Burger,Burger,1,189,189,0,189,dine_in,cash,23
46,77,2025-10-02,Veg Wrap,Wrap,3,179,537,0,537,takeaway,cash,32
47,486,2025-12-01,Veg Wrap,Wrap,2,179,358,50,308,delivery,card,35
48,331,2025-07-07,Peri Peri Fries,Sides,1,119,119,0,119,dine_in,cash,11
49,310,2025-09-27,Chicken Wrap,Wrap,1,219,219,20,199,delivery,cash,24
50,284,2025-11-10,Brownie,Dessert,2,109,218,0,218,takeaway,upi,23
51,477,2025-09-19,Peri Peri Fries,Sides,1,119,119,30,89,delivery,upi,33
52,109,2026-01-22,Brownie,Dessert,1,109,109,0,109,delivery,upi,33
53,500,2025-08-09,Veg Wrap,Wrap,3,179,537,50,487,takeaway,card,22
54,85,2025-07-28,Cold Coffee,Beverage,3,129,387,20,367,dine_in,card,13
55,54,2025-08-09,Cold Coffee,Beverage,3,129,387,0,387,dine_in,card,15
56,278,2025-08-24,Cheese Burst Burger,Burger,1,189,189,0,189,dine_in,cash,16
57,327,2025-07-17,Fries,Sides,1,99,99,0,99,takeaway,cash,11
58,289,2026-03-05,Classic Veg Burger,Burger,1,149,149,0,149,dine_in,card,10
59,183,2025-11-22,Chocolate Shake,Beverage,2,159,318,0,318,delivery,cash,21
60,499,2025-09-05,Cheese Burst Burger,Burger,1,189,189,20,169,takeaway,cash,13
61,258,2025-09-15,Classic Veg Burger,Burger,2,149,298,20,278,delivery,cash,11
62,149,2025-09-21,Paneer Grill Burger,Burger,4,209,836,0,836,takeaway,upi,32
63,119,2025-10-19,Paneer Grill Burger,Burger,3,209,627,30,597,takeaway,cash,29
64,334,2026-03-25,Cold Coffee,Beverage,2,129,258,0,258,delivery,card,21
65,320,2026-02-06,Classic Veg Burger,Burger,3,149,447,50,397,delivery,upi,16
66,313,2025-08-08,Paneer Grill Burger,Burger,2,209,418,50,368,delivery,upi,35
67,8,2025-09-12,Peri Peri Fries,Sides,2,119,238,0,238,delivery,upi,24
68,161,2025-09-25,Peri Peri Fries,Sides,1,119,119,0,119,delivery,cash,21
69,181,2025-08-15,Cheese Burst Burger,Burger,1,189,189,50,139,delivery,card,25
70,132,2026-02-12,Paneer Grill Burger,Burger,1,209,209,30,179,delivery,upi,21
71,440,2025-11-24,Chocolate Shake,Beverage,2,159,318,30,288,takeaway,upi,24
72,188,2026-03-20,Brownie,Dessert,1,109,109,0,109,dine_in,cash,23
73,260,2026-02-16,Peri Peri Fries,Sides,3,119,357,0,357,takeaway,cash,11
74,380,2025-11-03,Chicken Wrap,Wrap,1,219,219,0,219,dine_in,card,22
75,82,2026-01-21,Cheese Burst Burger,Burger,1,189,189,20,169,delivery,cash,12
76,179,2026-02-24,Veg Wrap,Wrap,3,179,537,30,507,delivery,upi,12
77,93,2025-08-25,Chocolate Shake,Beverage,2,159,318,0,318,delivery,card,12
78,163,2025-12-23,Brownie,Dessert,2,109,218,0,218,takeaway,cash,25
79,59,2025-11-20,Veg Wrap,Wrap,1,179,179,30,149,dine_in,card,14
80,328,2025-10-18,Cold Coffee,Beverage,2,129,258,30,228,delivery,upi,35
81,186,2026-02-06,Veg Wrap,Wrap,1,179,179,0,179,dine_in,upi,34
82,351,2026-02-02,Peri Peri Fries,Sides,1,119,119,50,69,dine_in,upi,14
83,36,2025-11-18,Chocolate Shake,Beverage,1,159,159,0,159,takeaway,card,23
84,269,2025-10-18,Peri Peri Fries,Sides,1,119,119,0,119,delivery,card,34
85,153,2025-09-23,Fries,Sides,1,99,99,20,79,delivery,card,27
86,353,2025-09-21,Chocolate Shake,Beverage,2,159,318,0,318,takeaway,cash,16
87,40,2025-09-13,Cold Coffee,Beverage,4,129,516,0,516,dine_in,card,14
88,256,2025-12-10,Cheese Burst Burger,Burger,3,189,567,20,547,delivery,cash,33
89,2,2026-02-16,Paneer Grill Burger,Burger,3,209,627,20,607,takeaway,cash,13
90,19,2025-10-20,Fries,Sides,2,99,198,50,148,takeaway,upi,29
91,194,2025-10-19,Cold Coffee,Beverage,1,129,129,50,79,takeaway,upi,21
92,417,2026-01-03,Classic Veg Burger,Burger,2,149,298,30,268,dine_in,cash,25
93,333,2026-02-19,Chocolate Shake,Beverage,2,159,318,0,318,delivery,cash,23
94,268,2025-12-19,Cheese Burst Burger,Burger,1,189,189,20,169,delivery,card,15
95,284,2025-09-22,Chicken Wrap,Wrap,2,219,438,20,418,delivery,cash,32
96,349,2026-02-09,Peri Peri Fries,Sides,3,119,357,30,327,dine_in,upi,35
97,429,2025-08-23,Cheese Burst Burger,Burger,3,189,567,30,537,delivery,upi,25
98,384,2025-08-21,Veg Wrap,Wrap,2,179,358,30,328,dine_in,cash,19
99,437,2026-02-01,Fries,Sides,2,99,198,30,168,delivery,upi,16
100,439,2026-02-26,Cheese Burst Burger,Burger,1,189,189,20,169,delivery,cash,32
101,402,2026-01-19,Classic Veg Burger,Burger,1,149,149,0,149,takeaway,card,18
102,451,2025-11-13,Peri Peri Fries,Sides,2,119,238,50,188,dine_in,upi,23
103,17,2025-07-08,Classic Veg Burger,Burger,1,149,149,0,149,takeaway,cash,29
104,163,2025-12-19,Paneer Grill Burger,Burger,2,209,418,20,398,dine_in,cash,22
105,99,2026-01-18,Classic Veg Burger,Burger,3,149,447,0,447,takeaway,card,33
106,89,2026-01-23,Cold Coffee,Beverage,2,129,258,0,258,delivery,upi,13
107,364,2025-09-03,Chicken Wrap,Wrap,1,219,219,50,169,takeaway,card,34
108,322,2025-11-11,Chicken Wrap,Wrap,1,219,219,0,219,dine_in,upi,12
109,14,2026-02-09,Classic Veg Burger,Burger,3,149,447,30,417,dine_in,upi,29
110,363,2025-08-10,Brownie,Dessert,2,109,218,50,168,takeaway,upi,24
111,325,2025-12-31,Paneer Grill Burger,Burger,1,209,209,50,159,dine_in,card,16
112,275,2025-11-03,Chocolate Shake,Beverage,1,159,159,50,109,dine_in,card,12
113,479,2025-09-12,Classic Veg Burger,Burger,3,149,447,30,417,dine_in,upi,24
114,475,2025-09-01,Cheese Burst Burger,Burger,1,189,189,0,189,delivery,upi,12
115,40,2026-03-11,Cold Coffee,Beverage,1,129,129,20,109,dine_in,card,35
116,12,2026-01-28,Cheese Burst Burger,Burger,2,189,378,50,328,dine_in,upi,31
117,215,2026-01-09,Cold Coffee,Beverage,3,129,387,20,367,dine_in,upi,19
118,6,2025-09-30,Brownie,Dessert,3,109,327,30,297,dine_in,upi,20
119,178,2026-03-05,Brownie,Dessert,2,109,218,30,188,dine_in,upi,26
120,380,2025-11-08,Cheese Burst Burger,Burger,1,189,189,30,159,dine_in,cash,26
121,390,2025-09-17,Fries,Sides,1,99,99,0,99,dine_in,upi,20
122,71,2025-10-21,Cheese Burst Burger,Burger,3,189,567,50,517,dine_in,card,18
123,247,2025-10-11,Cheese Burst Burger,Burger,2,189,378,20,358,takeaway,card,23
124,263,2026-01-21,Fries,Sides,1,99,99,0,99,dine_in,cash,32
125,144,2026-01-18,Cheese Burst Burger,Burger,3,189,567,0,567,dine_in,cash,25
126,222,2026-02-14,Chocolate Shake,Beverage,3,159,477,0,477,takeaway,upi,29
127,197,2026-02-05,Fries,Sides,2,99,198,0,198,delivery,cash,12
128,231,2025-09-24,Classic Veg Burger,Burger,2,149,298,0,298,takeaway,card,19
129,310,2026-03-29,Cold Coffee,Beverage,2,129,258,0,258,dine_in,card,23
130,405,2025-10-04,Cold Coffee,Beverage,1,129,129,0,129,takeaway,card,21
131,75,2025-12-08,Cheese Burst Burger,Burger,1,189,189,0,189,takeaway,upi,32
132,169,2025-10-18,Veg Wrap,Wrap,3,179,537,0,537,takeaway,upi,22
133,146,2025-10-17,Chicken Wrap,Wrap,1,219,219,0,219,takeaway,card,32
134,312,2025-08-08,Brownie,Dessert,3,109,327,20,307,takeaway,card,20
135,417,2025-12-11,Fries,Sides,1,99,99,0,99,delivery,card,11
136,141,2026-02-01,Cheese Burst Burger,Burger,2,189,378,0,378,takeaway,card,28
137,197,2025-10-30,Brownie,Dessert,1,109,109,0,109,dine_in,cash,35
138,439,2025-07-03,Veg Wrap,Wrap,1,179,179,0,179,delivery,upi,27
139,471,2026-03-28,Classic Veg Burger,Burger,1,149,149,0,149,delivery,upi,35
140,213,2025-12-02,Peri Peri Fries,Sides,1,119,119,0,119,delivery,upi,27
141,397,2025-12-08,Veg Wrap,Wrap,2,179,358,0,358,delivery,card,32
142,233,2026-03-10,Cheese Burst Burger,Burger,1,189,189,30,159,dine_in,upi,17
143,25,2025-07-06,Paneer Grill Burger,Burger,2,209,418,50,368,takeaway,card,17
144,88,2025-08-15,Fries,Sides,3,99,297,0,297,takeaway,upi,32
145,445,2025-07-27,Peri Peri Fries,Sides,1,119,119,0,119,delivery,upi,18
146,169,2026-01-11,Peri Peri Fries,Sides,3,119,357,0,357,takeaway,card,13
147,65,2025-12-11,Paneer Grill Burger,Burger,2,209,418,20,398,takeaway,card,31
148,63,2026-03-25,Chicken Wrap,Wrap,1,219,219,30,189,delivery,cash,25
149,500,2025-11-21,Cold Coffee,Beverage,3,129,387,20,367,dine_in,upi,18
150,393,2025-11-29,Cheese Burst Burger,Burger,1,189,189,50,139,takeaway,cash,16
151,356,2025-08-09,Cheese Burst Burger,Burger,2,189,378,0,378,dine_in,cash,16
152,240,2026-01-14,Fries,Sides,2,99,198,0,198,delivery,upi,28
153,390,2026-03-28,Chicken Wrap,Wrap,2,219,438,50,388,delivery,cash,14
154,435,2026-03-16,Cheese Burst Burger,Burger,1,189,189,0,189,delivery,card,24
155,445,2026-03-20,Fries,Sides,2,99,198,0,198,dine_in,card,23
156,85,2025-12-05,Brownie,Dessert,3,109,327,0,327,dine_in,card,13
157,382,2025-08-26,Fries,Sides,1,99,99,20,79,dine_in,card,10
158,244,2026-03-29,Veg Wrap,Wrap,2,179,358,0,358,takeaway,upi,21
159,221,2025-10-17,Paneer Grill Burger,Burger,2,209,418,30,388,delivery,cash,20
160,28,2026-02-11,Peri Peri Fries,Sides,1,119,119,0,119,dine_in,cash,22
161,375,2026-02-02,Fries,Sides,1,99,99,0,99,delivery,upi,29
162,142,2026-03-29,Brownie,Dessert,3,109,327,0,327,takeaway,upi,30
163,128,2025-08-26,Fries,Sides,1,99,99,0,99,dine_in,cash,18
164,123,2025-08-03,Chicken Wrap,Wrap,2,219,438,0,438,takeaway,cash,32
165,208,2026-01-17,Chocolate Shake,Beverage,1,159,159,50,109,takeaway,card,25
166,106,2025-09-26,Fries,Sides,1,99,99,50,50,delivery,cash,29
167,148,2025-07-02,Cheese Burst Burger,Burger,1,189,189,30,159,takeaway,cash,25
168,379,2025-12-04,Fries,Sides,1,99,99,0,99,takeaway,upi,15
169,96,2025-12-18,Veg Wrap,Wrap,1,179,179,0,179,takeaway,card,23
170,172,2025-07-11,Paneer Grill Burger,Burger,1,209,209,0,209,dine_in,cash,34
171,437,2025-07-05,Brownie,Dessert,2,109,218,30,188,dine_in,card,17
172,242,2025-08-26,Classic Veg Burger,Burger,1,149,149,30,119,takeaway,card,17
173,269,2026-03-15,Paneer Grill Burger,Burger,1,209,209,0,209,delivery,cash,20
174,232,2026-03-09,Cold Coffee,Beverage,2,129,258,0,258,takeaway,card,18
175,187,2026-02-20,Classic Veg Burger,Burger,1,149,149,0,149,takeaway,card,26
176,397,2026-03-05,Cheese Burst Burger,Burger,1,189,189,50,139,takeaway,cash,30
177,11,2025-09-14,Chocolate Shake,Beverage,1,159,159,0,159,delivery,upi,17
178,296,2026-02-06,Cold Coffee,Beverage,1,129,129,50,79,dine_in,upi,22
179,328,2025-08-25,Peri Peri Fries,Sides,3,119,357,50,307,takeaway,card,26
180,90,2025-11-13,Cold Coffee,Beverage,1,129,129,20,109,takeaway,card,18
181,159,2025-10-06,Classic Veg Burger,Burger,2,149,298,30,268,takeaway,card,29
182,63,2026-02-07,Veg Wrap,Wrap,3,179,537,0,537,dine_in,upi,25
183,475,2025-09-14,Veg Wrap,Wrap,3,179,537,30,507,delivery,cash,27
184,341,2025-09-22,Peri Peri Fries,Sides,2,119,238,0,238,dine_in,card,10
185,233,2025-07-21,Fries,Sides,1,99,99,30,69,dine_in,upi,25
186,157,2025-07-03,Chocolate Shake,Beverage,1,159,159,50,109,dine_in,upi,18
187,71,2025-12-27,Peri Peri Fries,Sides,2,119,238,0,238,takeaway,card,14
188,376,2025-10-09,Chocolate Shake,Beverage,2,159,318,0,318,delivery,upi,11
189,243,2025-12-29,Fries,Sides,3,99,297,50,247,delivery,card,22
190,496,2025-08-20,Peri Peri Fries,Sides,1,119,119,30,89,delivery,upi,28
191,224,2025-12-13,Brownie,Dessert,1,109,109,0,109,dine_in,card,27
192,103,2025-12-02,Peri Peri Fries,Sides,1,119,119,0,119,takeaway,cash,24
193,280,2025-10-02,Chocolate Shake,Beverage,2,159,318,0,318,dine_in,cash,24
194,356,2025-12-08,Chicken Wrap,Wrap,3,219,657,50,607,delivery,card,21
195,219,2026-02-24,Chocolate Shake,Beverage,2,159,318,20,298,dine_in,cash,10
196,491,2026-02-01,Cheese Burst Burger,Burger,2,189,378,0,378,takeaway,cash,21
197,66,2025-11-28,Classic Veg Burger,Burger,2,149,298,0,298,delivery,cash,10
198,237,2026-03-23,Veg Wrap,Wrap,1,179,179,0,179,dine_in,card,30
199,55,2025-12-18,Brownie,Dessert,1,109,109,0,109,takeaway,card,32
200,170,2025-08-01,Cheese Burst Burger,Burger,3,189,567,30,537,takeaway,cash,33
201,368,2025-07-28,Fries,Sides,2,99,198,0,198,takeaway,cash,25
202,70,2025-10-23,Paneer Grill Burger,Burger,1,209,209,50,159,delivery,cash,10
203,413,2026-03-06,Brownie,Dessert,3,109,327,0,327,dine_in,upi,10
204,79,2025-08-31,Chicken Wrap,Wrap,1,219,219,0,219,dine_in,card,10
205,427,2026-03-16,Veg Wrap,Wrap,2,179,358,0,358,dine_in,card,22
206,248,2025-10-03,Fries,Sides,2,99,198,0,198,takeaway,cash,24
207,440,2025-09-02,Chocolate Shake,Beverage,1,159,159,50,109,dine_in,upi,14
208,420,2025-11-01,Paneer Grill Burger,Burger,2,209,418,20,398,delivery,card,19
209,342,2025-08-21,Brownie,Dessert,2,109,218,0,218,takeaway,card,22
210,198,2025-08-24,Veg Wrap,Wrap,3,179,537,0,537,dine_in,card,24
211,62,2026-01-16,Classic Veg Burger,Burger,2,149,298,0,298,dine_in,cash,30
212,458,2026-02-13,Classic Veg Burger,Burger,1,149,149,0,149,delivery,cash,24
213,142,2025-07-05,Paneer Grill Burger,Burger,1,209,209,0,209,takeaway,cash,22
214,263,2025-08-02,Paneer Grill Burger,Burger,3,209,627,0,627,takeaway,cash,28
215,174,2026-02-21,Paneer Grill Burger,Burger,2,209,418,20,398,dine_in,cash,25
216,193,2026-02-27,Brownie,Dessert,3,109,327,0,327,takeaway,cash,26
217,398,2026-03-27,Peri Peri Fries,Sides,1,119,119,50,69,delivery,cash,28
218,179,2026-01-23,Cheese Burst Burger,Burger,1,189,189,0,189,takeaway,upi,17
219,50,2025-08-24,Veg Wrap,Wrap,4,179,716,0,716,dine_in,cash,35
220,122,2025-08-23,Paneer Grill Burger,Burger,4,209,836,20,816,dine_in,upi,29
221,129,2025-08-28,Classic Veg Burger,Burger,3,149,447,0,447,delivery,card,29
222,324,2025-07-16,Paneer Grill Burger,Burger,1,209,209,0,209,takeaway,card,22
223,69,2025-10-11,Fries,Sides,2,99,198,20,178,takeaway,card,17
224,104,2025-09-21,Chocolate Shake,Beverage,2,159,318,0,318,takeaway,upi,30
225,492,2025-08-19,Fries,Sides,1,99,99,0,99,dine_in,card,34
226,209,2025-08-06,Cold Coffee,Beverage,1,129,129,50,79,takeaway,cash,30
227,271,2026-03-12,Fries,Sides,1,99,99,30,69,delivery,cash,21
228,183,2025-09-09,Cheese Burst Burger,Burger,2,189,378,20,358,takeaway,card,12
229,292,2025-08-10,Paneer Grill Burger,Burger,3,209,627,0,627,dine_in,card,17
230,27,2025-12-17,Classic Veg Burger,Burger,1,149,149,0,149,delivery,card,32
231,184,2025-08-04,Paneer Grill Burger,Burger,1,209,209,0,209,takeaway,cash,17
232,437,2026-03-23,Brownie,Dessert,2,109,218,0,218,delivery,cash,11
233,280,2025-08-26,Brownie,Dessert,2,109,218,0,218,takeaway,upi,11
234,174,2026-02-01,Peri Peri Fries,Sides,2,119,238,0,238,dine_in,upi,27
235,419,2025-12-16,Classic Veg Burger,Burger,1,149,149,20,129,dine_in,cash,29
236,360,2025-07-19,Cold Coffee,Beverage,2,129,258,30,228,takeaway,cash,12
237,455,2026-03-03,Paneer Grill Burger,Burger,1,209,209,50,159,dine_in,upi,11
238,255,2026-03-17,Fries,Sides,3,99,297,0,297,delivery,card,19
239,401,2025-10-25,Classic Veg Burger,Burger,1,149,149,0,149,takeaway,cash,22
240,350,2025-07-10,Chicken Wrap,Wrap,2,219,438,0,438,delivery,card,32
241,65,2026-02-06,Chocolate Shake,Beverage,2,159,318,0,318,dine_in,card,13
242,460,2026-01-05,Cold Coffee,Beverage,1,129,129,0,129,delivery,upi,17
243,119,2025-08-17,Brownie,Dessert,1,109,109,20,89,takeaway,cash,28
244,24,2025-07-08,Fries,Sides,1,99,99,0,99,dine_in,upi,24
245,93,2025-11-22,Classic Veg Burger,Burger,2,149,298,30,268,takeaway,upi,19
246,67,2026-01-20,Veg Wrap,Wrap,3,179,537,0,537,takeaway,upi,12
247,129,2025-10-14,Veg Wrap,Wrap,3,179,537,50,487,delivery,upi,24
248,366,2025-12-02,Cold Coffee,Beverage,2,129,258,0,258,takeaway,upi,26
249,458,2025-11-14,Cold Coffee,Beverage,3,129,387,30,357,takeaway,upi,11
250,178,2026-01-27,Brownie,Dessert,2,109,218,0,218,dine_in,upi,14
251,431,2026-03-24,Fries,Sides,1,99,99,50,50,takeaway,upi,13
252,191,2025-09-11,Classic Veg Burger,Burger,1,149,149,50,99,delivery,cash,34
253,233,2025-08-28,Classic Veg Burger,Burger,2,149,298,0,298,delivery,card,28
254,197,2025-12-01,Cheese Burst Burger,Burger,1,189,189,0,189,takeaway,card,25
255,10,2026-01-12,Chocolate Shake,Beverage,2,159,318,0,318,dine_in,upi,22
256,95,2026-02-06,Chicken Wrap,Wrap,1,219,219,50,169,delivery,upi,27
257,391,2025-12-26,Classic Veg Burger,Burger,2,149,298,0,298,delivery,cash,16
258,388,2025-07-15,Cold Coffee,Beverage,3,129,387,30,357,delivery,card,35
259,374,2025-07-30,Cheese Burst Burger,Burger,2,189,378,20,358,takeaway,cash,19
260,440,2026-03-31,Veg Wrap,Wrap,2,179,358,30,328,takeaway,cash,34
261,266,2025-11-11,Paneer Grill Burger,Burger,2,209,418,20,398,takeaway,upi,14
262,465,2025-07-08,Peri Peri Fries,Sides,3,119,357,0,357,dine_in,upi,34
263,278,2025-11-29,Cold Coffee,Beverage,3,129,387,0,387,takeaway,card,21
264,138,2025-11-06,Brownie,Dessert,1,109,109,0,109,delivery,cash,31
265,165,2025-11-13,Paneer Grill Burger,Burger,2,209,418,20,398,dine_in,card,10
266,239,2025-07-19,Cold Coffee,Beverage,2,129,258,20,238,dine_in,cash,12
267,142,2025-12-08,Cheese Burst Burger,Burger,2,189,378,0,378,delivery,card,18
268,445,2026-03-11,Paneer Grill Burger,Burger,1,209,209,50,159,dine_in,upi,29
269,336,2025-07-26,Fries,Sides,1,99,99,0,99,takeaway,cash,24
270,297,2025-12-10,Classic Veg Burger,Burger,2,149,298,50,248,dine_in,upi,32
271,133,2025-11-09,Classic Veg Burger,Burger,4,149,596,30,566,takeaway,upi,29
272,121,2025-12-27,Cheese Burst Burger,Burger,2,189,378,0,378,takeaway,upi,17
273,105,2025-12-14,Brownie,Dessert,2,109,218,0,218,takeaway,card,19
274,74,2025-07-13,Cold Coffee,Beverage,3,129,387,0,387,delivery,cash,21
275,241,2025-11-28,Brownie,Dessert,1,109,109,0,109,delivery,upi,19
276,477,2025-09-15,Brownie,Dessert,1,109,109,0,109,takeaway,upi,35
277,161,2026-03-19,Chicken Wrap,Wrap,2,219,438,50,388,delivery,upi,22
278,426,2025-07-17,Paneer Grill Burger,Burger,2,209,418,50,368,dine_in,upi,17
279,290,2026-03-15,Brownie,Dessert,4,109,436,30,406,takeaway,upi,26
280,409,2025-07-27,Brownie,Dessert,3,109,327,0,327,delivery,upi,28
281,151,2025-11-02,Cold Coffee,Beverage,2,129,258,0,258,delivery,card,33
282,498,2025-08-29,Fries,Sides,2,99,198,50,148,delivery,card,12
283,181,2026-03-16,Cheese Burst Burger,Burger,1,189,189,50,139,delivery,cash,17
284,230,2026-01-31,Fries,Sides,2,99,198,30,168,dine_in,card,31
285,300,2025-09-09,Brownie,Dessert,1,109,109,0,109,delivery,card,13
286,42,2026-01-26,Chocolate Shake,Beverage,2,159,318,0,318,takeaway,card,30
287,452,2025-10-10,Paneer Grill Burger,Burger,2,209,418,0,418,dine_in,upi,23
288,135,2026-02-26,Cheese Burst Burger,Burger,1,189,189,0,189,delivery,upi,32
289,86,2025-08-07,Paneer Grill Burger,Burger,2,209,418,30,388,delivery,card,21
290,66,2026-01-22,Chicken Wrap,Wrap,1,219,219,50,169,delivery,upi,20
291,460,2025-12-20,Brownie,Dessert,2,109,218,50,168,dine_in,upi,33
292,472,2025-12-29,Veg Wrap,Wrap,2,179,358,50,308,delivery,cash,23
293,149,2026-03-02,Paneer Grill Burger,Burger,3,209,627,0,627,takeaway,cash,26
294,43,2025-09-16,Classic Veg Burger,Burger,2,149,298,30,268,delivery,cash,30
295,233,2026-01-11,Cold Coffee,Beverage,2,129,258,30,228,takeaway,cash,18
296,484,2025-08-19,Fries,Sides,1,99,99,20,79,delivery,upi,28
297,266,2026-03-26,Brownie,Dessert,2,109,218,20,198,delivery,card,22
298,164,2025-09-30,Paneer Grill Burger,Burger,1,209,209,50,159,takeaway,upi,23
299,266,2025-11-20,Brownie,Dessert,2,109,218,0,218,dine_in,card,19
300,85,2025-08-30,Peri Peri Fries,Sides,2,119,238,20,218,dine_in,upi,19
301,481,2025-11-10,Brownie,Dessert,1,109,109,0,109,takeaway,card,14
302,50,2025-10-14,Chicken Wrap,Wrap,2,219,438,0,438,dine_in,cash,11
303,492,2025-10-08,Classic Veg Burger,Burger,2,149,298,0,298,delivery,upi,19
304,483,2026-02-04,Veg Wrap,Wrap,2,179,358,0,358,delivery,card,13
305,367,2025-08-31,Veg Wrap,Wrap,3,179,537,0,537,dine_in,upi,18
306,375,2025-08-29,Cold Coffee,Beverage,1,129,129,50,79,dine_in,cash,12
307,168,2025-09-19,Chicken Wrap,Wrap,1,219,219,0,219,delivery,cash,33
308,263,2025-08-07,Cold Coffee,Beverage,1,129,129,20,109,dine_in,cash,35
309,267,2025-12-10,Fries,Sides,2,99,198,50,148,takeaway,upi,30
310,322,2025-07-05,Fries,Sides,2,99,198,0,198,takeaway,upi,18
311,241,2025-09-16,Veg Wrap,Wrap,1,179,179,50,129,delivery,card,14
312,102,2025-08-15,Chicken Wrap,Wrap,3,219,657,50,607,dine_in,upi,23
313,35,2026-03-09,Chicken Wrap,Wrap,2,219,438,0,438,takeaway,upi,11
314,215,2025-11-12,Brownie,Dessert,2,109,218,50,168,takeaway,upi,30
315,179,2026-03-05,Chicken Wrap,Wrap,3,219,657,0,657,delivery,upi,19
316,343,2026-03-06,Veg Wrap,Wrap,3,179,537,20,517,takeaway,card,27
317,247,2025-11-29,Cheese Burst Burger,Burger,1,189,189,0,189,delivery,card,20
318,127,2026-02-03,Cheese Burst Burger,Burger,1,189,189,20,169,delivery,cash,13
319,178,2026-01-20,Paneer Grill Burger,Burger,2,209,418,20,398,takeaway,card,31
320,121,2025-07-15,Peri Peri Fries,Sides,1,119,119,30,89,dine_in,card,11
321,288,2025-12-13,Peri Peri Fries,Sides,4,119,476,20,456,delivery,card,23
